Cache(KB),Bloco(B),Assoc,Leit MP,Esc MP,Total
8,64,2,3633,6144,9777
8,64,4,2611,6144,8755
8,128,2,4639,6144,10783
8,128,4,3106,6144,9250
16,64,2,56,6144,6200
16,64,4,56,6144,6200
16,128,2,1062,6144,7206
16,128,4,40,6144,6184
Média,,,1900.375,6144.0,8044.375
